"ID","MapID","AreaID","PhaseShift","Icon","String_Lang_enUS","String_Lang_enGB","String_Lang_koKR","String_Lang_frFR","String_Lang_deDE","String_Lang_enCN","String_Lang_zhCN","String_Lang_enTW","String_Lang_zhTW","String_Lang_esES","String_Lang_esMX","String_Lang_ruRU","String_Lang_ptPT","String_Lang_ptBR","String_Lang_itIT","String_Lang_Unk","String_Lang_Mask","Tooltip_Lang_enUS","Tooltip_Lang_enGB","Tooltip_Lang_koKR","Tooltip_Lang_frFR","Tooltip_Lang_deDE","Tooltip_Lang_enCN","Tooltip_Lang_zhCN","Tooltip_Lang_enTW","Tooltip_Lang_zhTW","Tooltip_Lang_esES","Tooltip_Lang_esMX","Tooltip_Lang_ruRU","Tooltip_Lang_ptPT","Tooltip_Lang_ptBR","Tooltip_Lang_itIT","Tooltip_Lang_Unk","Tooltip_Lang_Mask","StateVariable","Type","DynamicIcon","DynamicTooltip_Lang_enUS","DynamicTooltip_Lang_enGB","DynamicTooltip_Lang_koKR","DynamicTooltip_Lang_frFR","DynamicTooltip_Lang_deDE","DynamicTooltip_Lang_enCN","DynamicTooltip_Lang_zhCN","DynamicTooltip_Lang_enTW","DynamicTooltip_Lang_zhTW","DynamicTooltip_Lang_esES","DynamicTooltip_Lang_esMX","DynamicTooltip_Lang_ruRU","DynamicTooltip_Lang_ptPT","DynamicTooltip_Lang_ptBR","DynamicTooltip_Lang_itIT","DynamicTooltip_Lang_Unk","DynamicTooltip_Lang_Mask","ExtendedUI","ExtendedUIStateVariable_1","ExtendedUIStateVariable_2","ExtendedUIStateVariable_3"
"169","530","3519","0","Interface\WorldStateFrame\HordeTower","Time Remaining - %2509w:%2512w%2510w","Time Remaining - %2509w:%2512w%2510w","Temps restant - %2509w:%2512w%2510w","Verbleibende Zeit - %2509w:%2512w%2510w","","","Tiempo restante - %2509w:%2512w%2510w","Tiempo restante - %2509w:%2512w%2510w","Оставшееся время: %2509w:%2512w%2510w","","","","","","","","16712190","Time remaining until the Spirit Towers become capturable.","Time remaining until the Spirit Towers become capturable.","Temps restant avant que la tour des esprits puisse être capturée.","Verbleibende Zeit, bis die Geistertürme wieder erobert werden können.","","","Tiempo restante hasta que las Torres Espíritu se puedan capturar.","Tiempo restante hasta que las Torres Espíritu se puedan capturar.","Время, спустя которое можно будет захватывать Башни Духов.","","","","","","","","16712190","2768","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"148","530","3521","0","","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","2527","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2528","2529","0"
"149","530","3521","0","","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","2533","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2534","2535","0"
"153","530","3521","0","Interface\WorldStateFrame\AllianceTower","West Beacon","West Beacon","Balise ouest","Westliches Leuchtsignal","","","Baliza del Oeste","Baliza del Oeste","Западный маяк","","","","","","","","16712190","Alliance Controlled Beacon","Alliance Controlled Beacon","Balise contrôlée par l'Alliance","Kontrollierte Leuchtsignale der Allianz","","","Baliza bajo el control de la Alianza","Baliza bajo el control de la Alianza","Маяк под контролем Альянса","","","","","","","","16712190","2555","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"154","530","3521","0","Interface\WorldStateFrame\HordeTower","West Beacon","West Beacon","Balise ouest","Westliches Leuchtsignal","","","Baliza del Oeste","Baliza del Oeste","Западный маяк","","","","","","","","16712190","Horde Controlled Beacon","Horde Controlled Beacon","Balise contrôlée par la Horde","Kontrollierte Leuchtsignale der Horde","","","Baliza bajo el control de la Horda","Baliza bajo el control de la Horda","Маяк под контролем Орды","","","","","","","","16712190","2556","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"155","530","3521","0","Interface\WorldStateFrame\NeutralTower","West Beacon","West Beacon","Balise ouest","Westliches Leuchtsignal","","","Baliza del Oeste","Baliza del Oeste","Западный маяк","","","","","","","","16712190","Neutral Controlled Beacon","Neutral Controlled Beacon","Balise neutre","Kontrollierte neutrale Leuchtsignale","","","Baliza bajo control neutral","Baliza bajo control neutral","Маяк под контролем нейтральных сил","","","","","","","","16712190","2557","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"156","530","3521","0","Interface\WorldStateFrame\AllianceTower","East Beacon","East Beacon","Balise est","Östliches Leuchtsignal","","","Baliza del Este","Baliza del Este","Восточный маяк","","","","","","","","16712190","Alliance Controlled Beacon","Alliance Controlled Beacon","Balise contrôlée par l'Alliance","Kontrollierte Leuchtsignale der Allianz","","","Baliza bajo el control de la Alianza","Baliza bajo el control de la Alianza","Маяк под контролем Альянса","","","","","","","","16712190","2558","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"157","530","3521","0","Interface\WorldStateFrame\HordeTower","East Beacon","East Beacon","Balise est","Östliches Leuchtsignal","","","Baliza del Este","Baliza del Este","Восточный маяк","","","","","","","","16712190","Horde Controlled Beacon","Horde Controlled Beacon","Balise contrôlée par la Horde","Kontrollierte Leuchtsignale der Horde","","","Baliza bajo el control de la Horda","Baliza bajo el control de la Horda","Маяк под контролем Орды","","","","","","","","16712190","2559","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"158","530","3521","0","Interface\WorldStateFrame\NeutralTower","East Beacon","East Beacon","Balise est","Östliches Leuchtsignal","","","Baliza del Este","Baliza del Este","Восточный маяк","","","","","","","","16712190","Neutral Controlled Beacon","Neutral Controlled Beacon","Balise neutre","Kontrollierte neutrale Leuchtsignale","","","Baliza bajo control neutral","Baliza bajo control neutral","Маяк под контролем нейтральных сил","","","","","","","","16712190","2560","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"173","530","3831","0","","North Warp-Gate: %2880w%","North Warp-Gate: %2880w%","Portail dimensionnel nord : %2880w%","Nördliches Warptor: %2880w%","","","Portal de Distorsión Norte: %2880w%","Portal de Distorsión Norte: %2880w%","Северный портал: %2880w%","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2889","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"174","530","3831","0","","South Warp-Gate: %2881w%","South Warp-Gate: %2881w%","Portail dimensionnel sud : %2881w%","Südliches Warptor: %2881w%","","","Portal de Distorsión Sur: %2881w%","Portal de Distorsión Sur: %2881w%","Южный портал: %2881w%","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2889","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"177","530","4008","0","","Shield Remaining: %3054w%","Shield Remaining: %3054w%","Bouclier restant : %3054w%","Verbleibender Schild: %3054w%","","","Escudo restante: %3054w%","Escudo restante: %3054w%","Прочность щита: %3054w%","","","","","","","","16712190","Percentage of the shield remaining.","Percentage of the shield remaining.","Pourcentage restant du bouclier","Anteil des noch verbleibenden Schilds.","","","Porcentaje de escudo restante.","Porcentaje de escudo restante.","Оставшаяся прочность щита (в процентах).","","","","","","","","16712190","3055","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"142","534","3606","0","","Invading Enemies = %2454w","Invading Enemies = %2454w","Envahisseurs = %2454w","Feindliche Angreifer = %2454w","","","Enemigos = %2454w","Enemigos = %2454w","Число противников: %2454w","","","","","","","","16712190","Number of Invading Enemies in the Horde Base","Number of Invading Enemies in the Horde Base","Nombre d'envahisseurs dans la base de la Horde","Anzahl feindlicher Angreifer im Stützpunkt der Horde","","","Número de enemigos en la base de la Horda","Número de enemigos en la base de la Horda","Число противников, вторгшихся на базу Орды","","","","","","","","16712190","2453","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"143","534","3606","0","","Invading Enemies = %2454w","Invading Enemies = %2454w","Envahisseurs = %2454w","Feindliche Angreifer = %2454w","","","Enemigos = %2454w","Enemigos = %2454w","Число противников: %2454w","","","","","","","","16712190","Number of Invading Enemies in the Horde Base","Number of Invading Enemies in the Horde Base","Nombre d'envahisseurs dans la base de l'Alliance","Anzahl feindlicher Angreifer im Stützpunkt der Horde","","","Número de enemigos en la base de la Horda","Número de enemigos en la base de la Horda","Число противников, вторгшихся на базу Орды","","","","","","","","16712190","2486","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"172","534","3606","0","","Current Wave = %2842w of 8","Current Wave = %2842w of 8","Vague en cours : %2842w sur 8","Derzeitige Welle = %2842w von 8","","","Oleada actual = %2842w de 8","Oleada actual = %2842w de 8","Текущая атака: %2842w из 8","","","","","","","","16712190","Current Wave","Current Wave","Vague en cours","Derzeitige Welle","","","Oleada actual","Oleada actual","Идущая в данный момент атака","","","","","","","","16712190","2842","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"159","559","0","0","","Gold Team: %3601w Players Remaining","Gold Team: %3601w Players Remaining","Équipe dorée : %3601w personnages restants","Goldenes Team: %3601w überlebende Spieler","","","Equipo dorado: %3601w jugadores restantes","Equipo dorado: %3601w jugadores restantes","Игроков в золотой команде: %3601w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2577","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"160","559","0","0","","Green Team: %3600w Players Remaining","Green Team: %3600w Players Remaining","Équipe verte : %3600w personnages restants","Grünes Team: %3600w überlebende Spieler","","","Equipo verde: %3600w jugadores restantes","Equipo verde: %3600w jugadores restantes","Игроков в зеленой команде: %3600w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2577","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"165","560","2367","0","","Incendiary Bombs Set = %2436w/5","Incendiary Bombs Set = %2436w/5","Bombes incendiaires placées = %2436w/5","Brandsätze platziert = %2436w/5","","","Bombas incendiarias colocadas = %2436w/5","Bombas incendiarias colocadas = %2436w/5","Бомб заложено: %2436w/5","","","","","","","","16712190","Number of Incendiary Bombs Placed in Durnholde","Number of Incendiary Bombs Placed in Durnholde","Nombre de bombes incendiaires placées dans Fort-de-Durn","Anzahl von platzierten Brandsätzen in Durnholde","","","Número de bombas incendiarias colocadas en Durnholde","Número de bombas incendiarias colocadas en Durnholde","Количество зажигательных бомб, заложенных в Дарнхольде","","","","","","","","16712190","2436","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"151","562","0","0","","Green Team: %3600w Players Remaining","Green Team: %3600w Players Remaining","Équipe verte : %3600w personnages restants","Grünes Team: %3600w überlebende Spieler","","","Equipo verde: %3600w jugadores restantes","Equipo verde: %3600w jugadores restantes","Игроков в зеленой команде: %3600w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2547","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"152","562","0","0","","Gold Team: %3601w Players Remaining","Gold Team: %3601w Players Remaining","Équipe dorée : %3601w personnages restants","Goldenes Team: %3601w überlebende Spieler","","","Equipo dorado: %3601w jugadores restantes","Equipo dorado: %3601w jugadores restantes","Игроков в золотой командех: %3601w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2547","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"164","566","0","0","","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","2718","0","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2719","2720","0"
"166","566","0","0","Interface\TargetingFrame\UI-PVP-Alliance","Bases: %2752w  Victory Points: %2749w/1600","Bases: %2752w  Victory Points: %2749w/1600","Bases : %2752w  Points de victoire : %2749w/1600","Basen: %2752w  Siegespunkte: %2749w/1600","","","Bases: %2752w  Puntos de victoria: %2749w/1600","Bases: %2752w  Puntos de victoria: %2749w/1600","Базы: %2752w  Очки победы: %2749w/1600","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2769","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"167","566","0","0","Interface\TargetingFrame\UI-PVP-Horde","Bases: %2753w  Victory Points: %2750w/1600","Bases: %2753w  Victory Points: %2750w/1600","Bases : %2753w  Points de victoire : %2750w/1600","Basen: %2753w  Siegespunkte: %2750w/1600","","","Bases: %2753w  Puntos de victoria: %2750w/1600","Bases: %2753w  Puntos de victoria: %2750w/1600","Базы: %2753w  Очки победы: %2750w/1600","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2770","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"183","566","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture2.blp","Flag Captures","Flag Captures","Captures de drapeau","Eroberte Flaggen","","","Banderas capturadas","Banderas capturadas","Захваты флага","","","","","","","","16712190","Number of times you have captured the flag","Number of times you have captured the flag","Nombre de fois où vous avez capturé le drapeau","Flaggen die von Euch erobert wurden","","","Veces que has capturado la bandera","Veces que has capturado la bandera","Количество флагов, захваченных вами.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"179","568","3805","0","","Time Until Sacrifice: %3106w Min","Time Until Sacrifice: %3106w Min","Sacrifice dans : %3106w min.","Zeit bis zur Opferung: %3106w Min","","","Tiempo hasta el sacrificio: %3106w min","Tiempo hasta el sacrificio: %3106w min","Время до жертвоприношения: %3106w мин.","","","","","","","","16712190","Time remaining until prisoners are killed.","Time remaining until prisoners are killed.","Temps restant avant l'exécution des prisonniers.","Verbleibende Zeit bis die Gefangenen getötet werden.","","","Tiempo que falta para el sacrificio de los prisioneros.","Tiempo que falta para el sacrificio de los prisioneros.","Время, оставшееся до гибели узников.","","","","","","","","16712190","3104","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"184","571","0","0","","Progress: %3467w","Progress: %3467w","Progression : %3467w","Fortschritt: %3467w","","","Progreso: %3467w","Progreso: %3467w","Состояние: %3467w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3466","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","3467","3468","0"
"186","571","0","0","","Progress: %2427w","Progress: %2427w","Progression : %2427w","Fortschritt: %2427w","","","Progreso: %2427w","Progreso: %2427w","Состояние: %2427w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3501","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","3502","3508","0"
"215","571","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture","Walls Destroyed","Walls Destroyed","Murs détruits","Wälle zerstört","","","Murallas destruidas","Murallas destruidas","Разбито стен","","","","","","","","16712190","Number of times you have destroyed enemy walls.","Number of times you have destroyed enemy walls.","Nombre de fois où vous avez détruit des murs ennemis.","Anzahl der zerstörten feindlichen Wälle.","","","Veces que has destruido murallas enemigas.","Veces que has destruido murallas enemigas.","Количество разбитых вами стен противника.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"216","571","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture","Buildings Destroyed","Buildings Destroyed","Bâtiments détruits","Gebäude zerstört","","","Edificios destruidos","Edificios destruidos","Уничтожено строений","","","","","","","","16712190","Number of times you have destroyed enemy buildings.","Number of times you have destroyed enemy buildings.","Nombre de fois où vous avez détruit des bâtiments ennemis.","Anzahl der zerstörten feindlichen Gebäude.","","","Veces que has destruido edificios enemigos.","Veces que has destruido edificios enemigos.","Количество уничтоженных строений противника.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"188","571","4197","0","Interface\TargetingFrame\UI-PVP-Horde","Vehicles: %3490w/%3491w","Vehicles: %3490w/%3491w","Véhicules : %3490w/%3491w","Fahrzeuge: %3490w/%3491w","","","Vehículos: %3490w/%3491w","Vehículos: %3490w/%3491w","Машины: %3490w/%3491w","","","","","","","","16712190","Horde status","Horde status","Situation de la Horde","Hordenstatus","","","Estado de la Horda","Estado de la Horda","Статистика Орды","","","","","","","","16712190","3710","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"189","571","4197","0","Interface\TargetingFrame\UI-PVP-Alliance","Vehicles: %3680w/%3681w","Vehicles: %3680w/%3681w","Véhicules : %3680w/%3681w","Fahrzeuge: %3680w/%3681w","","","Vehículos: %3680w/%3681w","Vehículos: %3680w/%3681w","Машины: %3680w/%3681w","","","","","","","","16712190","Alliance status","Alliance status","Situation de l'Alliance","Allianzstatus","","","Estado de la Alianza","Estado de la Alianza","Статистика Альянса","","","","","","","","16712190","3710","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"210","571","4197","0","Interface\TargetingFrame\UI-PVP-Alliance","Alliance Controlled","Alliance Controlled","Contrôle : Alliance","Kontrolliert von der Allianz","","","Bajo el control de la Alianza","Bajo el control de la Alianza","Под контролем Альянса","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3803","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"211","571","4197","0","Interface\TargetingFrame\UI-PVP-Horde","Horde Controlled","Horde Controlled","Contrôle : Horde","Kontrolliert von der Horde","","","Bajo el control de la Horda","Bajo el control de la Horda","Под контролем Орды","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3802","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"208","571","4197","0","","Time Remaining: %3781k","Time Remaining: %3781k","Temps restant : %3781k","Verbleibende Zeit: %3781k","","","Tiempo restante: %3781k","Tiempo restante: %3781k","Время: %3781k","","","","","","","","16712190","Game ends after this duration","Game ends after this duration","La partie s'achève à la fin de ce temps.","Das Spiel endet nach Ablauf dieser Zeit.","","","La partida acaba tras este tiempo","La partida acaba tras este tiempo","Игра завершится через это время.","","","","","","","","16712190","3710","3","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"212","571","4197","0","","Next Battle: %4354k","Next Battle: %4354k","Prochaine bataille : %4354k","Nächste Schlacht: %4354k","","","Siguiente batalla: %4354k","Siguiente batalla: %4354k","Следующий бой: %4354k","","","","","","","","16712190","The War for Lake Wintergrasp will resume after this duration.","The War for Lake Wintergrasp will resume after this duration.","La guerre pour le lac Joug-d'hiver reprendra à la fin de ce temps.","Die Schlacht um den Tausendwintersee wird nach Ablauf dieser Zeit fortgesetzt.","","","La Guerra por el Lago Conquista del Invierno continuará tras este tiempo.","La Guerra por el Lago Conquista del Invierno continuará tras este tiempo.","По прошествии этого времени битва за Озеро Ледяных Оков продолжится.","","","","","","","","16712190","3801","3","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"175","572","0","0","","Gold Team: %3601w Players Remaining","Gold Team: %3601w Players Remaining","Équipe dorée : %3601w personnages restants","Goldenes Team: %3601w überlebende Spieler","","","Equipo dorado: %3601w jugadores restantes","Equipo dorado: %3601w jugadores restantes","Игроков в золотой команде: %3601w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3002","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"176","572","0","0","","Green Team: %3600w Players Remaining","Green Team: %3600w Players Remaining","Équipe verte : %3600w personnages restants","Grünes Team: %3600w überlebende Spieler","","","Equipo verde: %3600w jugadores restantes","Equipo verde: %3600w jugadores restantes","Игроков в зеленой команде: %3600w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3002","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"190","578","0","0","","Centrifuge Constructs: %3486w Remaining","Centrifuge Constructs: %3486w Remaining","Assemblages centrifuges : %3486w restant(s)","Zentrifugenkonstrukte: %3486w verbleiben","","","Ensamblajes de centrifugadora: %3486w restantes","Ensamblajes de centrifugadora: %3486w restantes","Центрифужных созданий осталось: %3486w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3524","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"185","595","0","0","","Plagued Crates Revealed = %3480w/5","Plagued Crates Revealed = %3480w/5","Caisses contaminées découvertes : %3480w/5","Entdeckte verseuchte Kisten = %3480w/5","","","Cajones apestados desvelados: %3480w/5","Cajones apestados desvelados: %3480w/5","Найдено ящиков: %3480w/5","","","","","","","","16712190","Number of plagued grain crates revealed.","Number of plagued grain crates revealed.","Nombre de caisses de céréales pestiférées découvertes.","Anzahl der entdeckten verseuchten Kornkisten.","","","Número de cajones de grano apestado desvelados.","Número de cajones de grano apestado desvelados.","Количество ящиков зараженного чумой зерна.","","","","","","","","16712190","3479","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"187","595","0","0","","Scourge Wave = %3504w/10","Scourge Wave = %3504w/10","Vague du Fléau = %3504w/10","Angreiferwelle = %3504w/10","","","Oleada de la Plaga: %3504w/10","Oleada de la Plaga: %3504w/10","Атаки Плети: %3504w/10","","","","","","","","16712190","Number of Scourge waves encountered.","Number of Scourge waves encountered.","Nombre de vagues du Fléau rencontrées.","Anzahl der Gefechte mit Dienern der Geißel.","","","Número de oleadas de la Plaga afrontadas.","Número de oleadas de la Plaga afrontadas.","Количество отбитых атак Плети","","","","","","","","16712190","3504","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"230","595","0","0","","Time Remaining = %3931w min.","Time Remaining = %3931w min.","Temps restant = %3931w min.","Verbleibende Zeit = %3931w Min.","","","Tiempo restante = %3931w min","Tiempo restante = %3931w min","Осталось %3931w мин.","","","","","","","","16712190","Time until Guardian of Time corrupted.","Time until Guardian of Time corrupted.","Temps jusqu'à ce que le gardien du Temps soit corrompu.","Verbleibende Zeit, bis der Wächter der Zeit korrumpiert wird.","","","Tiempo hasta la corrupción del Guardián del Tiempo.","Tiempo hasta la corrupción del Guardián del Tiempo.","Осталось до того, как исказится страж времени.","","","","","","","","16712190","3932","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"240","603","4273","0","","Time until Algalon transmits distress signal= %4131w min.","Time until Algalon transmits distress signal= %4131w min.","Signal de détresse d'Algalon transmis dans= %4131w min.","Zeit, bis Algalon mit dem Uplink beginnt= %4131w min.","","","Tiempo hasta que Algalon transmita la señal=%4131w min.","Tiempo hasta que Algalon transmita la señal=%4131w min.","Алгалон подаст сигнал бедствия через %4131w мин.","","","","","","","","16712190","Time until message sent.","Time until message sent.","Temps restant avant l'envoi du message.","Zeit bis zum Senden der Nachricht.","","","Tiempo para que se envíe el mensaje.","Tiempo para que se envíe el mensaje.","Время до отправки сообщения.","","","","","","","","16712190","4132","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"191","607","0","0","","Progress: %3537w","Progress: %3537w","Progression : %3537w","Fortschritt: %3537w","","","Progreso: %3537w","Progreso: %3537w","Состояние: %3537w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3536","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","3537","3538","0"
"232","607","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture","Demolishers Destroyed","Demolishers Destroyed","Démolisseurs détruits","Verwüster zerstört","","","Demoledores destruidos","Demoledores destruidos","Разрушителей уничтожено","","","","","","","","16712190","Number of times you have destroyed a demolisher","Number of times you have destroyed a demolisher","Nombre de fois où vous avez détruit un démolisseur.","Anzahl der zerstörten Verwüster","","","Veces que has destruido un demoledor","Veces que has destruido un demoledor","Сколько раз вы уничтожили разрушитель.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"231","607","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture","Gates Destroyed","Gates Destroyed","Portes détruites","Tore zerstört","","","Puertas destruidas","Puertas destruidas","Врат разрушено","","","","","","","","16712190","Number of times you have destroyed a gate","Number of times you have destroyed a gate","Nombre de fois où vous avez détruit une porte.","Anzahl der zerstörten Portale","","","Veces que has destruido una puerta","Veces que has destruido una puerta","Сколько раз вы разрушили врата.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"192","607","4384","0","Interface\TargetingFrame\UI-PVP-Alliance","Attacker","Attacker","Attaquant","Angreifer","","","Atacante","Atacante","Атакующий","","","","","","","","16712190","Alliance status","Alliance status","Situation de l'Alliance","Status der Allianz","","","Estado de la Alianza","Estado de la Alianza","Статистика Альянса","","","","","","","","16712190","4352","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"193","607","4384","0","Interface\TargetingFrame\UI-PVP-Horde","Defender","Defender","Défenseur","Verteidiger","","","Defensor","Defensor","Защитник","","","","","","","","16712190","Horde status","Horde status","Situation de la Horde","Status der Horde","","","Estado de la Horda","Estado de la Horda","Статистика Орды","","","","","","","","16712190","4352","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"194","607","4384","0","","End of Round: %3559w:%3560w%3561w","End of Round: %3559w:%3560w%3561w","Fin du round : %3559w:%3560w%3561w","Ende der Runde: %3559w:%3560w%3561w","","","Final de ronda: %3559w:%3560w%3561w","Final de ronda: %3559w:%3560w%3561w","Конец раунда: %3559w:%3560w%3561w","","","","","","","","16712190","Round ends after this duration","Round ends after this duration","Le round se termine à la fin de ce temps","Runde endet nach Ablauf dieser Zeit","","","La ronda termina en","La ronda termina en","Раунд заканчивается по истечении этого времени.","","","","","","","","16712190","2889","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"196","607","4384","0","Interface\TargetingFrame\UI-PVP-Alliance","Defender","Defender","Défenseur","Verteidiger","","","Defensor","Defensor","Защитник","","","","","","","","16712190","Alliance status","Alliance status","Situation de l'Alliance","Status der Allianz","","","Estado de la Alianza","Estado de la Alianza","Статистика Альянса","","","","","","","","16712190","4353","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"197","607","4384","0","Interface\TargetingFrame\UI-PVP-Horde","Attacker","Attacker","Attaquant","Angreifer","","","Atacante","Atacante","Атакующий","","","","","","","","16712190","Horde status","Horde status","Situation de la Horde","Status der Horde","","","Estado de la Horda","Estado de la Horda","Статистика Орды","","","","","","","","16712190","4353","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"198","607","4384","0","","Bonus Time: %3559w:%3560w%3561w","Bonus Time: %3559w:%3560w%3561w","Bonus temps : %3559w:%3560w%3561w","Bonuszeit: %3559w:%3560w%3561w","","","Bonus de tiempo: %3559w:%3560w%3561w","Bonus de tiempo: %3559w:%3560w%3561w","Дополнительные очки: %3559w:%3560w%3561w","","","","","","","","16712190","Time left for bonus points","Time left for bonus points","Temps restant pour les points bonus","Verbleibende Zeit für Bonuspunkte","","","Tiempo restante para obtener bonus de tiempo","Tiempo restante para obtener bonus de tiempo","Осталось времени до получения дополнительных очков","","","","","","","","16712190","3571","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"199","607","4384","0","","End of Round: %3559w:%3560w%3561w","End of Round: %3559w:%3560w%3561w","Fin du round : %3559w:%3560w%3561w","Ende der Runde: %3559w:%3560w%3561w","","","Final de ronda: %3559w:%3560w%3561w","Final de ronda: %3559w:%3560w%3561w","Конец раунда: %3559w:%3560w%3561w","","","","","","","","16712190","Round ends after this duration","Round ends after this duration","Le round se termine à la fin de ce temps","Runde endet nach Ablauf dieser Zeit","","","La ronda termina en","La ronda termina en","Раунд заканчивается по истечении этого времени.","","","","","","","","16712190","3565","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"247","607","4384","0","","End of Round: %3559w:%3560w%3561w","End of Round: %3559w:%3560w%3561w","Fin du round : %3559w:%3560w%3561w","Ende der Runde: %3559w:%3560w%3561w","","","Final de ronda: %3559w:%3560w%3561w","Final de ronda: %3559w:%3560w%3561w","Завершение боя: %3559w:%3560w%3561w","","","","","","","","16712190","Round ends after this duration","Round ends after this duration","Le round se termine à la fin de ce temps","Die Runde endet nach Ablauf dieser Zeit.","","","La ronda acaba tras este tiempo","La ronda acaba tras este tiempo","Бой завершится через указанное время.","","","","","","","","16712190","3564","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
